NYAKAMBU T.C (13),NYAKAMBU T C (13)
KASHEKURO T.C (19),KASHEKURO T C (19)
KISHABYA T.C EAST (06),KISHABYA T C EAST (06)
KISHAMBYA T.C WEST (07),KISHAMBYA T C WEST (07)
MAILO T.C (02),MAILO T C (02)
RWABUZA T.C (06),RWABUZA T C (06)
KAGATI T.C (11),KAGATI T C (11)
KASAANA T.C (11),KASAANA T C (11)
KIBAATI T.C (12),KIBAATI T C (12)
BUGONGI T.C (02),BUGONGI T C (02)
BITEREKO T.C (01),BITEREKO T C (01)
MUTARA T.C (09),MUTARA T C (09)
BWINDI T.C (03),BWINDI T C (03)
"BUGARIHE I?,SP MAY 2022 (02)",BUGARIHE I SP (02)
N.T.C (08),N T C (08)
VURRA S.S.S (08),VURRA S S S (08)
B. BURA (08),B BURA (08)
K. BURA (10),K BURA (10)
YIVU P.7/PIO (12),YIVU P 7/PIO (12)
YIVU S.S (08),YIVU S S (08)
PAIDHA T.T.C (10),PAIDHA T T C (10)
PANYANGO S.S (18),PANYANGO S S (18)
ALIBU/DIMU T.C (02),ALIBU/DIMU T C (02)
ST. LUKE MISSION (05),ST LUKE MISSION (05)
RHINO CAMP S. S (08),RHINO CAMP S S (08)
OLUODRI T.C (06),OLUODRI T C (06)
ADUMI S.S. (02),ADUMI S S (02)
OTUMBARI S.S.S. (15),OTUMBARI S S S (15)
